Year,ApplicationsFwd,UBCPhDDomestic ,UBCPhDIntl,PGSAward,CGSAward,TotalAward,SuccessRatePGS,SuccessRateCGS,SuccessRateTotal,TotalAwardValue,AwardValuepApplicant,AwardValuepEnrolled,CPI,CPIFactor2022,TotalAwardCorrected,AppCorrected,EnrolCorrected
2003,1086,1830,668,571,143,714,0.5257826888,0.1316758748,0.6574585635,16996000,15650.09208,9287.431694,102.4,1.462890625,24863289.06,22894.37299,13586.49676
2004,1248,1959,777,578,148,726,0.4631410256,0.1185897436,0.5817307692,17318000,13876.60256,8840.224604,104.1,1.439000961,24920618.64,19968.44442,12721.0917
2005,1582,2107,887,765,280,1045,0.4835651075,0.1769911504,0.6605562579,25865000,16349.55752,12275.74751,106.6,1.405253283,36346876.17,22975.26939,17250.53449
2006,1571,2263,951,573,295,868,0.364735837,0.187778485,0.5525143221,22358000,14231.69955,9879.805568,109.2,1.371794872,30670589.74,19522.97247,13553.06661
2007,1496,2389,988,677,216,893,0.452540107,0.1443850267,0.5969251337,21777000,14556.81818,9115.52951,111.6,1.342293907,29231134.41,19539.52835,12235.71972
2008,1601,2448,1025,714,337,1051,0.445971268,0.2104934416,0.6564647096,26789000,16732.66708,10943.21895,113.5,1.319823789,35356759.47,22084.17206,14443.1207
2009,1685,2464,1167,620,532,1152,0.3679525223,0.315727003,0.6836795252,31640000,18777.44807,12840.90909,113.9,1.315188762,41612572.43,24695.88868,16888.21933
2010,1826,2475,1256,946,273,1219,0.5180722892,0.1495071194,0.6675794085,29421000,16112.26725,11887.27273,116,1.29137931,37993670.69,20807.04857,15350.97806
2011,1684,2504,1431,585,291,876,0.3473871734,0.1728028504,0.5201900238,22470000,13343.2304,8973.642173,119.8,1.250417362,28096878.13,16684.60697,11220.79798
2012,1628,2480,1548,426,233,659,0.2616707617,0.1431203931,0.4047911548,17101000,10504.29975,6895.564516,122.2,1.225859247,20963418.99,12876.79299,8452.991526
2013,1600,2410,1572,450,261,711,0.28125,0.163125,0.444375,18585000,11615.625,7711.618257,122.7,1.220863896,22689755.5,14181.09719,9414.836308
2014,1686,2408,1583,330,380,710,0.1957295374,0.2253855279,0.4211150652,20230000,11998.81376,8401.162791,125.2,1.196485623,24204904.15,14356.40816,10051.8705
2015,1544,2353,1558,417,245,662,0.2700777202,0.1586787565,0.4287564767,17332000,11225.3886,7365.915852,126.2,1.187004754,20573166.4,13324.58964,8743.377137
2016,1586,2301,1585,400,301,701,0.2522068096,0.1897856242,0.4419924338,18935000,11938.83985,8229.030856,128.3,1.167575994,22108051.44,13939.5028,9608.01888
2017,1542,2241,1725,390,329,719,0.2529182879,0.2133592737,0.4662775616,19705000,12778.85863,8792.949576,130.4,1.148773006,22636572.09,14680.00784,10101.10312
2018,1687,2241,1735,485,284,769,0.2874925904,0.1683461766,0.455838767,20125000,11929.46058,8980.365908,133.3,1.123780945,22616091.52,13406.10049,10091.96409
2019,1693,2237,1809,394,319,713,0.232722977,0.1884229179,0.4211458949,19439000,11481.98464,8689.763076,136,1.101470588,21411486.76,12647.06838,9571.518446
2020,1878,2200,1903,460,326,786,0.2449414271,0.1735889244,0.4185303514,21070000,11219.38232,9577.272727,135.7,1.103905674,23259292.56,12385.13981,10572.40571
2021,1845,2257,2041,342,342,684,0.1853658537,0.1853658537,0.3707317073,19152000,10380.4878,8485.600354,140.3,1.067712046,20448821.1,11083.37187,9060.177713
2022,1721,2279,2073,387,330,717,0.2248692621,0.1917489831,0.4166182452,19677000,11433.46891,8634.050022,149.8,1,19677000,11433.46891,8634.050022